Price,Close,High,Low,Open,Volume
Ticker,LLY,LLY,LLY,LLY,LLY
Date,,,,,
2022-03-29,279.3932800292969,283.9950970573829,278.60852192526414,282.91970970410773,2798100
2022-03-30,280.8464660644531,283.17158859487665,279.0057157275615,281.5149132916742,2220100
2022-03-31,277.4363098144531,282.6969067903052,277.0003658903878,280.34272090372514,3227600
2022-04-01,283.5397033691406,283.9950421486094,275.14016490356676,277.2230862951878,3066200
2022-04-04,282.3287353515625,285.777673524169,281.8733965136631,283.6172310268104,3014100
2022-04-05,283.3653564453125,286.60115693220786,280.08112760447193,282.61938831442615,2324200
2022-04-06,296.29888916015625,296.996428934034,285.5742262238638,286.85305407022946,4672900
2022-04-07,298.8080139160156,304.20425573934904,295.485025479304,295.485025479304,4270800
2022-04-08,301.9664001464844,302.63487700391227,298.3430840990936,298.3915124534707,3024700
2022-04-11,299.32159423828125,303.97186991416834,298.43997928994304,303.32275840168415,2178100
2022-04-12,298.4689636230469,299.95123176737553,294.69063595765385,297.0157584005468,2688100
2022-04-13,293.2278137207031,298.682153434523,291.03830801098115,297.6939843552311,2528700
2022-04-14,292.4430236816406,294.9716163062629,290.8251383194123,294.2740765717676,1898100
2022-04-18,289.4979248046875,292.63683928915617,287.5409224352735,291.6777331001334,1581400
2022-04-19,287.7444152832031,290.34080227387886,284.63453391490486,289.1007346391125,2021700
2022-04-20,283.7819519042969,289.67226454234105,283.18126886183245,287.7540228492695,2608600
2022-04-21,280.57513427734375,284.2953652952551,277.7171820294982,283.7819006835722,2716800
2022-04-22,270.03466796875,280.5849249667516,269.71494618864955,280.27490068469746,2772600
2022-04-25,276.3028259277344,277.02942869974044,268.19391415709066,270.054030262265,2410200
2022-04-26,274.0067443847656,281.15652060188694,273.9680135229778,277.2522427748696,2166600
2022-04-27,276.19622802734375,279.1413993909968,271.8366116181802,274.2683182318201,2352100
2022-04-28,287.9962158203125,291.1351593740759,279.55794532010947,286.7561484797941,5886900
2022-04-29,283.0166015625,288.0349971354106,280.11988824755883,286.5624263009483,3910900
2022-05-02,280.5268249511719,283.70450022109134,275.4115420882395,282.1447403001778,2789900
2022-05-03,279.0832214355469,280.76893000474627,275.2467384245245,279.62574901104864,2109500
2022-05-04,285.7001647949219,287.7152927625176,275.25646356915905,279.49982790527815,2743600
2022-05-05,283.2490539550781,285.78731420990636,279.30601690124803,284.26631529538327,3120200
2022-05-06,287.6378173828125,288.9457083125917,279.5192375118075,281.11778729572825,2931200
2022-05-09,280.20709228515625,285.7292553893017,277.70756229404026,284.353570753421,3460500
2022-05-10,276.78717041015625,284.27600250625244,276.1089961372887,282.8906206038186,3140800
2022-05-11,277.74627685546875,285.31262980003316,274.17138958712866,274.82050093880343,2625200
2022-05-12,282.69683837890625,282.88091340192483,274.49107187333294,274.49107187333294,2370000
2022-05-13,283.4842529296875,284.62155610725125,278.5072685093677,284.4563211263177,2337700
2022-05-16,291.0178527832031,300.79685886496264,283.4551615463813,283.9508962758556,5118300
2022-05-17,292.9813537597656,294.92549018772047,285.1951075381204,291.62046419323076,2553000
2022-05-18,286.94482421875,294.14785338877186,285.817221508075,291.6204700486499,2161400
2022-05-19,278.27398681640625,285.3798038503774,276.4270629445634,285.3798038503774,3157400
2022-05-20,290.5025329589844,290.88162405992017,280.8499046649785,282.6093454034168,3129100
2022-05-23,294.14788818359375,296.4030938717125,290.98866605102825,292.2037514866304,2873600
2022-05-24,297.41400146484375,299.07625957598367,291.42605732393463,295.2268478435045,2804900
2022-05-25,298.4346923828125,301.7494487801781,296.1308953037317,298.42496220715014,3195700
2022-05-26,304.7044677734375,305.1419102980752,295.129590758337,296.70436604793343,3284200
2022-05-27,314.4447021484375,315.0279194663831,302.5660249084397,303.91718458191207,3694300
2022-05-31,304.6850891113281,309.5648612784255,300.39826436558667,307.78598934918756,6298900
2022-06-01,302.3910217285156,305.1322617081384,297.0543757599182,304.6851185549573,2731500
2022-06-02,293.9825439453125,301.99240514124983,289.84155407385606,301.8951923996779,3703300
2022-06-03,293.2243957519531,297.26820342584466,292.3009486692361,293.72016007609994,2490000
2022-06-06,294.8865966796875,306.32785844795086,294.6241489435751,306.32785844795086,3734400
2022-06-07,303.3825378417969,303.4311293932079,294.55614061497334,295.49904810068784,3652800
2022-06-08,304.7336730957031,306.6875398152727,302.12853724639,303.70328310059915,2684500
2022-06-09,294.77972412109375,303.2075696820293,294.643620314204,302.89650069357117,1963300
2022-06-10,288.71405029296875,293.23416250316325,288.57794647517943,290.872043367311,2469800
2022-06-13,283.1440734863281,284.9715667674478,280.45145478222787,282.31780943920415,2898800
2022-06-14,282.6677551269531,283.8439494881046,279.2655160063765,281.09300919471355,2422600
2022-06-15,284.8062744140625,288.0627090685141,280.4708582135867,283.4551149376311,1970100
2022-06-16,280.0236511230469,282.0941608221832,275.20217222166815,282.0941608221832,2628600
2022-06-17,282.77471923828125,292.5828867921713,281.58879448787565,281.9095937036969,6900000
2022-06-21,289.0347900390625,290.92060494870526,282.2011509519082,284.2133394892854,2821300
2022-06-22,298.12359619140625,301.0009097336118,288.15016704817407,288.66536200335105,4535700
2022-06-23,303.9851989746094,304.44207226073127,298.6096624796875,300.85513787217576,3729300
2022-06-24,316.5248718261719,316.7192973502293,310.09951466890266,310.62441018655176,5449900
2022-06-27,318.1287841796875,321.6088053315412,313.0059948808199,315.17371788507705,3218900
